"Media" "Media.Detailed" "year" "spendings"
"394" "Public Entertainment" "Public Entertainment" 1985 57581
"395" "Direct Mail" "Direct Mail" 1985 NA
"396" "Endorsements & Testimonials" "Endorsements & Testimonials" 1985 NA
"397" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 1985 NA
"398" "Coupons & Retail-Value-Added" "Coupons" 1985 0
"399" "Coupons & Retail-Value-Added" "Retail-Value-Added" 1985 0
"400" "Internet" "Internet" 1985 NA
"401" "Price Discounts" "Price Discounts" 1985 NA
"402" "Promotional Allowances" "Promotional Allowances _ Retailers" 1985 0
"403" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 1985 0
"404" "Promotional Allowances" "Promotional Allowances _  Other" 1985 0
"405" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 1985 0
"406" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 1985 0
"407" "Public Entertainment" "Public Entertainment _ Adult-Only" 1985 0
"408" "Public Entertainment" "Public Entertainment _ General-Audience" 1985 0
"409" "Sponsorships" "Sponsorships" 1985 NA
"410" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 1985 0
"411" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 1985 0
"412" "Internet" "Company Website" 1985 0
"413" "Internet" "Internet _ Other" 1985 0
"414" "Telephone" "Telephone" 1985 NA
"415" "Price Discounts" "Price Discounts - Retailers" 1985 0
"416" "Price Discounts" "Price Discounts - Wholesalers" 1985 0
"417" "Audio-Visual" "Audio-Visual" 1985 0
"418" "Socail Media" "Socail Media" 1985 0
"419" "Other" "Other" 1985 443043
"420" "Total" "Total" 1985 2476441
"421" "Newspapers" "Newspapers" 1986 119629
"422" "Magazines" "Magazines" 1986 34016
"423" "Outdoor" "Outdoor" 1986 301822
"424" "Transit" "Transit" 1986 34725
"425" "Point-of-Sale" "Point-of-Sale" 1986 135541
"426" "Promotional Allowances" "Promotional Allowances" 1986 630036
"427" "Sampling Distribution" "Sampling Distribution" 1986 98866
"428" "Specialty Item Distribution" "Specialty Item Distribution" 1986 210128
"429" "Public Entertainment" "Public Entertainment" 1986 71439
"430" "Direct Mail" "Direct Mail" 1986 187057
"431" "Endorsements & Testimonials" "Endorsements & Testimonials" 1986 384
"432" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 1986 NA
"433" "Coupons & Retail-Value-Added" "Coupons" 1986 0
"434" "Coupons & Retail-Value-Added" "Retail-Value-Added" 1986 0
"435" "Internet" "Internet" 1986 NA
"436" "Price Discounts" "Price Discounts" 1986 NA
"437" "Promotional Allowances" "Promotional Allowances _ Retailers" 1986 0
"438" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 1986 0
"439" "Promotional Allowances" "Promotional Allowances _  Other" 1986 0
"440" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 1986 0
"441" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 1986 0
"442" "Public Entertainment" "Public Entertainment _ Adult-Only" 1986 0
"443" "Public Entertainment" "Public Entertainment _ General-Audience" 1986 0
"444" "Sponsorships" "Sponsorships" 1986 NA
"445" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 1986 0
"446" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 1986 0
"447" "Internet" "Company Website" 1986 0
"448" "Internet" "Internet _ Other" 1986 0
"449" "Telephone" "Telephone" 1986 NA
"450" "Price Discounts" "Price Discounts - Retailers" 1986 0
"451" "Price Discounts" "Price Discounts - Wholesalers" 1986 0
"452" "Audio-Visual" "Audio-Visual" 1986 0
"453" "Socail Media" "Socail Media" 1986 0
"454" "Other" "Other" 1986 25257
"455" "Total" "Total" 1986 2382357
"456" "Newspapers" "Newspapers" 1987 9581
"457" "Magazines" "Magazines" 1987 317748
"458" "Outdoor" "Outdoor" 1987 269778
"459" "Transit" "Transit" 1987 35822
"460" "Point-of-Sale" "Point-of-Sale" 1987 153494
